,RELACION DE CALLES DE LAS INSTALACIONES DE LA FERIA DE COLIMA,,,,,,,
,,,,,,,,
,No_Calle,Nombre,Cantidad,Local_Metros,Precio,Ubicación,Rentados,Disponibles
,1,Arcos Ingreso Entrada Principal Zona Arbolada(14.80x9.20; 5.50x14; 9x14 = 339 m2.),1,Modulos,"33,198.83",1-1,0,1
,2,"Hda. San Antonio, Sur (Mts.)",25,Metros,"1,038.35",1  - 25,0,25
,3,"And. Salida Taxis, Oriente (Metros Libres)",15.5,Metros,"1,038.35",1  - 14,0,14
,4,"Baños, Adador Salida a Taxis, Oriente",1,Metros,"20,190.63",1  - 1,0,1
,5,"And. Salida Taxis, Oriente (1 mts. Ancho) Despues de Baños",12,Metros,571.42,1  - 14,0,12
,6,"El Cobano, Sur (Mod. 3 x 3 mts.)",25,Modulos,"2,198.48",1  - 25,0,25
,7,Zona Arbolada - Area Taxis (19.95x34.63x11.95x14.63x19.72=708.51 m2),1,Metros,"25,282.53",1  - 1,0,1
,8,Taquerias Costado Palenque (Mod. 5 x 5 mts.),11,Modulos,"5,932.63",1  - 11,0,11
,9,"El Cobano, Norte (Mod. 3 x 3 mts.)",25,Modulos,"2,198.48",1  - 25,0,25
,10,"La Estancia, Sur (Mod. 3 x 3 mts)",25,Modulos,"4,599.21",1  - 25,0,25
,11,"La Estancia, Norte (Mod. 3 x 3 mts)",27,Modulos,"4,599.21",1  - 27,0,27
,12,"Hda. San Antonio, Sur (Locales 3 x 3)",27,Modulos,"4,599.21",1  - 27,0,27
,13,"Hda. San Antonio, Norte (Mod. 4 x 4 mts)",25,Modulos,"5,191.00",1  - 25,0,25
,14,"Cabecera Hda. San Antonio, Norte (1 x 3 mts.)",1,Metros,"1,038.35",1-1,0,1
,15,"El Borbollon, Sur (Mod. 4 x 4 mts )",25,Modulos,"4,326.69",1  - 25,0,25
,16,"Cabecera El Borbollon, Sur (1 x 3 mts.)",1,Metros,"1,038.35",1-1,0,1
,17,"El Borbollon, Norte (Mod. 4 x 4 )",25,Modulos,"4,326.69",1  - 25,0,25
,18,"Cabecera 1 x 3 mts. El Borbollon, Nte. Esq. Gruta San Gabriel ",1,Modulos,"1,038.35",1,0,1
,19,"El Terrero, Sur (Mod. 4 x 4 mts)",25,Modulos,"4,757.47",1  - 25,0,25
,20,"Cab. Terrero, Sur - Gruta San Gabriel",3,Metros,"1,038.35",1-3,0,3
,21,"El Terrero, Norte (Mod. 4 x 4 mts)",20,Modulos,"4,757.47",1  - 20,0,20
,22,Estructura Casa Ruiz (Mod. 7.70 x 14.80),2,Modulos,"15,146.45",1 - 2,0,2
,23,"La Caja, Sur (Mod. 4 x 4)",20,Modulos,"3,410.28",1  - 20,0,20
,24,"La Caja, Norte (Mod. 4 x  4)",20,Modulos,"3,410.28",1  - 20,0,20
,25,"La Becerrera, Sur (Mod. 4 x 4 mts)",20,Modulos,"4,757.47",1  - 20,0,20
,26,"La Becerrera, Norte (Mod. 4 x 4 mts.)",25,Modulos,"4,757.47",1  - 25,0,25
,27,Cab La Becerrera Norte - El Remate Sur,7,Metros,"1,038.35",1-7,0,7
,28,"El Remate, Sur (Mod. 4 x 4)",25,Modulos,"3,410.28",1  - 25,0,25
,29,"El Remate, Norte (Mod. 4 x 4 Mts.)",25,Modulos,"3,410.28",1  - 25,0,25
,30,Cab El Remate Norte - La Queseria Sur,7,Metros,"1,038.35",1-7,0,7
,31,"La Queseria, Sur (Mod. 4 x 4 mts)",25,Modulos,"4,757.47",1  - 25,0,25
,32,"La Queseria, Norte (Modulos de 5 x 5 mts)",5,Modulos,"7,433.54",1  - 5,0,5
,33,"La Parota, Oriente (Modulos 5 x 4.50 mts)",5,Modulos,"5,743.77",1  - 5,0,5
,34,Modulo 2 (Esquinas de 5 x 6 mts),4,Modulos,"8,097.55",1  - 4,0,4
,35,Modulo 2 (Espacios Intermedios de 5 x 6 mts),6,Modulos,"7,361.01",1  - 6,0,6
,36,Modulo 1 (Esquinas 5 x 6 mts.),4,Modulos,"8,097.55",1  - 4,0,4
,37,Modulo 1 (Espacios Intermedios de 5 x 6 mts),6,Modulos,"7,361.01",1  - 6,0,6
,38,"Gruta San Gabriel, Oriente (Banqueta 6 Mts)",24.4,Metros,"1,038.35",1  - 25,0,25
,39,"Gruta San Gabriel, Centro (Mod. de 4 x 4 mts)",19,Modulos,"5,625.04",1  - 19,0,19
,40,"Gruta San Gabriel, Centro (Metros Libres)",38,Metros,"1,038.35",1  - 27,0,27
,41,"Gruta San Gabriel, Poniente (Mts. Libres)",101,Metros,"1,038.35",1  - 101,0,101
,42,"Baños, Junto al Palenque, Calle Gruta San Gabriel, Pte.",1,Modulos,"15,780.79",1  - 1,0,1
,43,"Regaderas, Calle Gruta San Gabriel,  Pte.",1,Modulos,"6,281.37",1  - 1,0,1
,44,"Instalaciones Palenque  5,544 m2.",1,Metros,"443,466.85",1  - 1,0,1
,45,Costado Palenque y Fte Terrazas Hacia Estacionamiento,69,Metros,840.19,1-70,0,70
,46,"Baños, Area Terrazas Calle Gruta San Gabriel,  Pte.",1,Modulos,"15,780.79",1  - 1,0,1
,47,Area Terrazas 700 m2. ,1,Metros,"53,793.10",1  - 1,0,1
,48,"Albarrada, Norte (Junto Baños Area Terrazas)",15,Metros,"1,038.35",1 - 15,0,15
,49,"Costado Pte Corrales, Gruta San Gabriel, Ote.",32,Metros,721.57,1-32,0,32
,50,"La Albarrada, Norte Costado Exposicion Ganadera",26,Metros,"1,038.35",1  - 26,0,26
,51,"La Abarrada, Sur (Modulos de 5 x 10 mts)",5,Modulos,"12,867.08",1  - 5,0,5
,52,Banquetas Costado Ganadera (6 x 14.70  mts) ,4,Metros,"13,780.12",1  - 4,0,4
,53,"Modulo Exposicion Agricola 1,083 m2.",1,Metros,"70,000.00",1-1,,1
,54,Modulo 3 (Esquinas de 5 x 6 mts),2,Modulos,"12,978.50",1  - 2,0,2
,55,Modulo 3 (Espacios Intermedios de 5 x 6 mts.),3,Modulos,"11,287.26",1  - 3,0,3
,56,Mod. 3 Especiales (Esquinas 5 x 6 mts.),2,Modulos,"7,888.15",1  - 2,0,2
,57,Mod. 3 Especiales (Esp Intermedios 5 x 6 mts.),3,Modulos,"7,099.36",1  - 3,0,3
,58,Modulo 4 (Esquinas de 5 x 6 mts),4,Modulos,"7,888.15",1  - 4,0,4
,59,Modulo 4 (Espacios Intermedios de 5 x 6 mts.),6,Modulos,"7,099.36",1  - 6,0,6
,60,"Baños - Regaderas - Lavaderos, Buena Vista, Ote.",1,Modulos,"23,861.65",1  - 1,0,1
,61,"Buena Vista, Poniente ",29,Metros,"1,038.08",1  - 29,0,29
,62,And. Hacia Ganadera Esq. Esq. Buena Vista Poniente  ,17,Metros,"1,038.08",1  - 17,0,17
,63,Banqueta 1 (3 x 29 mts) Hacia Ganadera,29,Metros,753.11,1  - 29,,29
,64,Banqueta 2 (6 x 29 mts) Hacia Ganadera,58,Metros,753.11,1-58,0,58
,65,Banqueta 3 (6 x 29 mts) Hacia Ganadera,58,Metros,753.11,1-58,0,58
,66,Banqueta 4 (6 x 29 mts) Hacia Ganadera,58,Metros,753.11,1-58,0,58
,67,"Nuevo Chanal, Acera Sur (Mts. Libres)",103,Metros,"1,038.08",1  - 103,0,103
,68,"Nuevo Chanal, Acera Norte",56,Metros,"1,038.08",1  - 56,0,56
,69,"Baños - Regaderas, Calle El Chanal, Norte",1,Modulos,"19,252.57",1  - 1,0,1
,70,"Bueva Vista, Ote. Junto Entrada Bodega",3,Metros,"1,038.08",1  - 3,0,3
,71,"Buena Vista Esq. Chanal, Norte Junto Bodega",5,Metros,"1,038.08",1-5,0,5
,72,"Modulos Buena Vista, Ote. (Esquinas 3 x 3 mts)",2,Modulos,"5,281.63",1  - 2,0,2
,73,"Modulos Buena Vista, Ote (Intermedios 3 x 3 mts)",3,Modulos,"4,555.41",1  - 3,0,3
,74,"Modulos Buena Vista, Andador ESQUINAS (3 x 3 mts)",2,Modulos,"2,198.48",1  - 2,0,2
